[2025-09-15 08:31:27] [INFO    ] discord.client: logging in using static token
[2025-09-15 08:31:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-15 08:31:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'task_manager', 'public_flags': 524288, 'primary_guild': None, 'mfa_enabled': False, 'id': '1412579823942897737', 'global_name': None, 'flags': 524288, 'email': None, 'discriminator': '4288', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '3f9a997b62752f0eca6df4d794328289', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1412604614708297748'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['seattle', 'oregon', 'santa-clara', 'us-west', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1412579823942897737', 'flags': 27820032}, '_trace': ['["gateway-prd-arm-us-east1-c-vgmc",{"micros":128061,"calls":["id_created",{"micros":360,"calls":[]},"session_lookup_time",{"micros":1383,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-137",{"micros":125629,"calls":["start_session",{"micros":92700,"calls":["discord-api-rpc-6c68f9c9d5-l9rcx",{"micros":65522,"calls":["get_user",{"micros":4654},"get_guilds",{"micros":25289},"send_scheduled_deletion_message",{"micros":20},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":17798},"apex_experiments",{"micros":3052},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":48,"calls":[]},"presence_started",{"micros":12119,"calls":[]},"guilds_started",{"micros":80,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":20658,"calls":[]},"connect_finished",{"micros":20662,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-15 08:31:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:28] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 3f9a997b62752f0eca6df4d794328289).
[2025-09-15 08:31:28] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-15 08:31:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'owner_id': '754631341685080064', 'emojis': [], 'application_id': None, 'owner_configured_content_level': 0, 'afk_timeout': 300, 'profile': None, 'moderator_reporting': None, 'hub_type': None, 'max_stage_video_channel_users': 50, 'incidents_data': None, 'nsfw': False, 'premium_progress_bar_enabled': False, 'id': '1412604614708297748', 'embedded_activities': [], 'stage_instances': [], 'member_count': 5, 'name': "J's server", 'region': 'deprecated', 'lazy': True, 'stickers': [], 'explicit_content_filter': 0, 'discovery_splash': None, 'premium_tier': 0, 'vanity_url_code': None, 'safety_alerts_channel_id': None, 'threads': [], 'joined_at': '2025-09-03T01:06:52.260000+00:00', 'large': False, 'splash': None, 'description': None, 'mfa_level': 0, 'soundboard_sounds': [], 'rules_channel_id': None, 'banner': None, 'max_members': 25000000, 'system_channel_flags': 0, 'preferred_locale': 'en-US', 'unavailable': False, 'members': [{'user': {'username': 'task_manager', 'public_flags': 524288, 'primary_guild': None, 'id': '1412579823942897737', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4288', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1412604728520474717'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:52.260000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'max_video_channel_users': 25, 'afk_channel_id': None, 'roles': [{'version': 1756929177105, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465843265', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1412604614708297748', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756929258551, 'unicode_emoji': None, 'tags': {'bot_id': '1412579823942897737'}, 'position': 1, 'permissions': '206912', 'name': 'task_manager', 'mentionable': False, 'managed': True, 'id': '1412604728520474717', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'application_command_counts': {}, 'presences': [], 'premium_subscription_count': 0, 'premium_features': None, 'voice_states': [], 'public_updates_channel_id': None, 'latest_onboarding_question_id': None, 'features': ['PIN_PERMISSION_MIGRATION_COMPLETE'], 'nsfw_level': 0, 'home_header': None, 'icon': None, 'verification_level': 0, 'version': 1756929145756, 'system_channel_id': '1412604615203094530', 'channels': [{'version': 1756929145726, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1412604615203094528', 'flags': 0}, {'version': 1756929145731, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1412604615203094529', 'flags': 0}, {'version': 1756929145735, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1412604615203094528', 'name': 'general', 'last_message_id': '1416857871257305159', 'id': '1412604615203094530', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1756929145740, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1412604615203094529', 'name': 'General', 'last_message_id': None, 'id': '1412604615203094531', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'inventory_settings': None, 'default_message_notifications': 0, 'activity_instances': [], 'guild_scheduled_events': []}}
[2025-09-15 08:31:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '9e17a084578c8e5cd1bf8145b5e69b72', 'members': [{'user': {'username': 'enryu', 'public_flags': 0, 'primary_guild': None, 'id': '90554697445838848', 'global_name': 'Enryu', 'display_name_styles': None, 'display_name': 'Enryu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a_4cd6215d1d8aae40491b6bf5f919bf33'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-10T06:27:53.031000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'thickkev', 'public_flags': 0, 'primary_guild': None, 'id': '163574004278362112', 'global_name': 'thickkev', 'display_name_styles': None, 'display_name': 'thickkev', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '1e5b0235337c5888e35a37c1a83105ae'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-10T03:19:49.647000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ddlnicole', 'public_flags': 0, 'primary_guild': None, 'id': '390062138070401026', 'global_name': 'ddlnicole', 'display_name_styles': None, 'display_name': 'ddlnicole', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f0d3095e46245bd6cd812be39cd92281'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-10T02:51:46.074000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ju6403', 'public_flags': 0, 'primary_guild': None, 'id': '754631341685080064', 'global_name': 'J', 'display_name_styles': None, 'display_name': 'J', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:25.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'task_manager', 'public_flags': 524288, 'primary_guild': None, 'id': '1412579823942897737', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4288', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1412604728520474717'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:52.260000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1412604614708297748', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-15 08:31:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:28] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 1412604614708297748.
[2025-09-15 08:31:30] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-15 08:31:30] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-15 08:31:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-15T15:31:37.100000+00:00', 'pinned': False, 'nonce': '1417171006694359040', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:25.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417171003926118481', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'schedule', 'components': [], 'channel_type': 0, 'channel_id': '1412604615203094530', 'author': {'username': 'ju6403', 'public_flags': 0, 'primary_guild': None, 'id': '754631341685080064', 'global_name': 'J', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:38] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 08:31:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-15T15:31:37.345000+00:00', 'pinned': False, 'nonce': '8636299176769959697', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412604728520474717'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:52.260000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417171004953985108', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "2025-09-15 [('cooking', 'Ju'), ('dog_walking', 'Ju')]\n2025-09-16 [('cooking', 'Declan'), ('dog_walking', 'Ban')]", 'components': [], 'channel_type': 0, 'channel_id': '1412604615203094530', 'author': {'username': 'task_manager', 'public_flags': 524288, 'primary_guild': None, 'id': '1412579823942897737', 'global_name': None, 'display_name_styles': None, 'discriminator': '4288', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:38] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 08:31:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1412604615203094530/messages with {"content":"2025-09-15 [('cooking', 'Ju'), ('dog_walking', 'Ju')]\n2025-09-16 [('cooking', 'Declan'), ('dog_walking', 'Ban')]\n","components":[],"nonce":"8636299176769959697","enforce_nonce":true,"tts":false} has returned 200
[2025-09-15 08:31:38] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-15 08:31:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1412604615203094530/messages has received {'type': 0, 'content': "2025-09-15 [('cooking', 'Ju'), ('dog_walking', 'Ju')]\n2025-09-16 [('cooking', 'Declan'), ('dog_walking', 'Ban')]", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-15T15:31:37.345000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1417171004953985108', 'channel_id': '1412604615203094530', 'author': {'id': '1412579823942897737', 'username': 'task_manager', 'avatar': None, 'discriminator': '4288', 'public_flags': 524288, 'flags': 524288, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '8636299176769959697'}
[2025-09-15 08:31:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '754631341685080064', 'timestamp': 1757950303, 'member': {'user': {'username': 'ju6403', 'public_flags': 0, 'primary_guild': None, 'id': '754631341685080064', 'global_name': 'J', 'display_name_styles': None, 'display_name': 'J', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:25.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1412604615203094530', 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:44] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-15 08:31:44] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-15 08:31:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-15T15:31:51.735000+00:00', 'pinned': False, 'nonce': '1417171067826339840', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:25.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417171065310023833', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'update', 'components': [], 'channel_type': 0, 'channel_id': '1412604615203094530', 'author': {'username': 'ju6403', 'public_flags': 0, 'primary_guild': None, 'id': '754631341685080064', 'global_name': 'J', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:52] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 08:31:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '754631341685080064', 'timestamp': 1757950316, 'member': {'user': {'username': 'ju6403', 'public_flags': 0, 'primary_guild': None, 'id': '754631341685080064', 'global_name': 'J', 'display_name_styles': None, 'display_name': 'J', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:25.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1412604615203094530', 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:57] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-15 08:31:57] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-15 08:31:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-15T15:31:57.244000+00:00', 'pinned': False, 'nonce': '1417171091071172608', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:25.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417171088416309278', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!update', 'components': [], 'channel_type': 0, 'channel_id': '1412604615203094530', 'author': {'username': 'ju6403', 'public_flags': 0, 'primary_guild': None, 'id': '754631341685080064', 'global_name': 'J', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event command
[2025-09-15 08:31:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-15T15:31:57.465000+00:00', 'pinned': False, 'nonce': '15098650794082871138', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412604728520474717'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:52.260000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417171089343381604', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'update command triggered', 'components': [], 'channel_type': 0, 'channel_id': '1412604615203094530', 'author': {'username': 'task_manager', 'public_flags': 524288, 'primary_guild': None, 'id': '1412579823942897737', 'global_name': None, 'display_name_styles': None, 'discriminator': '4288', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 08:31:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1412604615203094530/messages with {"content":"update command triggered","components":[],"nonce":"15098650794082871138","enforce_nonce":true,"tts":false} has returned 200
[2025-09-15 08:31:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1412604615203094530/messages has received {'type': 0, 'content': 'update command triggered', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-15T15:31:57.465000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1417171089343381604', 'channel_id': '1412604615203094530', 'author': {'id': '1412579823942897737', 'username': 'task_manager', 'avatar': None, 'discriminator': '4288', 'public_flags': 524288, 'flags': 524288, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '15098650794082871138'}
[2025-09-15 08:31:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-15T15:31:57.745000+00:00', 'pinned': False, 'nonce': '15307994292928962372', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1412604728520474717'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:52.260000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1417171090517528670', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Assignments updated successfully.', 'components': [], 'channel_type': 0, 'channel_id': '1412604615203094530', 'author': {'username': 'task_manager', 'public_flags': 524288, 'primary_guild': None, 'id': '1412579823942897737', 'global_name': None, 'display_name_styles': None, 'discriminator': '4288', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1412604614708297748'}}
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event message
[2025-09-15 08:31:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1412604615203094530/messages with {"content":"Assignments updated successfully.","components":[],"nonce":"15307994292928962372","enforce_nonce":true,"tts":false} has returned 200
[2025-09-15 08:31:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1412604615203094530/messages has received {'type': 0, 'content': 'Assignments updated successfully.', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-15T15:31:57.745000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1417171090517528670', 'channel_id': '1412604615203094530', 'author': {'id': '1412579823942897737', 'username': 'task_manager', 'avatar': None, 'discriminator': '4288', 'public_flags': 524288, 'flags': 524288, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '15307994292928962372'}
[2025-09-15 08:31:58] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-09-15 08:32:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 12, 'op': 0, 'd': {'user_id': '754631341685080064', 'timestamp': 1757950322, 'member': {'user': {'username': 'ju6403', 'public_flags': 0, 'primary_guild': None, 'id': '754631341685080064', 'global_name': 'J', 'display_name_styles': None, 'display_name': 'J', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-03T01:06:25.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1412604615203094530', 'guild_id': '1412604614708297748'}}
[2025-09-15 08:32:03] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-15 08:32:03] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-15 08:32:03] [DEBUG   ] discord.client: Dispatching event raw_typing
